id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attack_delay_total,attack_delay_events,attempts,route,total_fee,attempts_history
0,3213,5499,100741,702,18446744073709551615,4103,1,0,0,1,0,0,0,3,27956-23574-42184-54241,2000,
1,1557,5793,136639,1589,18446744073709551615,4790,1,0,0,1,0,0,0,3,11347-13026-12950-57686,2002,
2,5812,5075,95664,2515,18446744073709551615,2919,1,1,0,0,0,0,0,2,59393-50106,2000,
3,4974,253,97362,3110,18446744073709551615,6311,1,0,0,2,0,0,0,4,49525-52995-4200-824,4016,
4,2065,5178,94259,8742,18446744073709551615,11944,1,0,0,2,0,0,0,4,16117-27079-40369-51094,2202,
5,277,4808,102873,9520,18446744073709551615,10123,0,1,0,0,0,0,0,1,904-390-48161,1903,"[{""attempts"":1,""is_succeeded"":1,""end_time"":10123,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":904,""from_node_id"":277,""to_node_id"":24,""sent_amt"":104776,""edge_cap"":8799713,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":390,""from_node_id"":24,""to_node_id"":77,""sent_amt"":103873,""edge_cap"":28835125,""channel_cap"":500000000,""group_cap"":null,""channel_update"":500000000},{""edge_id"":48161,""from_node_id"":77,""to_node_id"":4808,""sent_amt"":102873,""edge_cap"":559426776,""channel_cap"":590487000,""group_cap"":null,""channel_update"":590487000}]}]"
6,2312,5362,113415,10217,18446744073709551615,11022,1,1,0,0,0,0,0,2,18950-53221-55595-53357,22998,
7,1481,4976,84655,10960,18446744073709551615,11766,1,1,0,0,0,0,0,2,9583-58624-52993-49529,416,
8,5615,2208,113051,11254,18446744073709551615,11855,0,1,0,0,0,0,0,1,56132-37588-17823,32,"[{""attempts"":1,""is_succeeded"":1,""end_time"":11855,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":56132,""from_node_id"":5615,""to_node_id"":3708,""sent_amt"":113083,""edge_cap"":27092132,""channel_cap"":453608000,""group_cap"":null,""channel_update"":453608000},{""edge_id"":37588,""from_node_id"":3708,""to_node_id"":2010,""sent_amt"":113052,""edge_cap"":26549543,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":17823,""from_node_id"":2010,""to_node_id"":2208,""sent_amt"":113051,""edge_cap"":86990957,""channel_cap"":96000000,""group_cap"":null,""channel_update"":96000000}]}]"
9,5646,4424,103773,12211,18446744073709551615,13016,0,1,0,0,0,0,0,1,55949-49791-49826-42421,1041,"[{""attempts"":1,""is_succeeded"":1,""end_time"":13016,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":55949,""from_node_id"":5646,""to_node_id"":3750,""sent_amt"":104814,""edge_cap"":471548025,""channel_cap"":500000000,""group_cap"":null,""channel_update"":500000000},{""edge_id"":49791,""from_node_id"":3750,""to_node_id"":2739,""sent_amt"":103814,""edge_cap"":306883265,""channel_cap"":334797000,""group_cap"":null,""channel_update"":334797000},{""edge_id"":49826,""from_node_id"":2739,""to_node_id"":332,""sent_amt"":103774,""edge_cap"":23600829,""channel_cap"":334797000,""group_cap"":null,""channel_update"":334797000},{""edge_id"":42421,""from_node_id"":332,""to_node_id"":4424,""sent_amt"":103773,""edge_cap"":72659844,""channel_cap"":75247000,""group_cap"":null,""channel_update"":75247000}]}]"
10,804,4602,121975,12894,18446744073709551615,16295,1,0,0,2,0,0,0,4,4425-52725-48359-47335,2002,
11,3593,944,98071,13649,18446744073709551615,16851,1,0,0,2,0,0,0,4,31313-23476-5332,2000,
12,2183,2046,97519,16995,18446744073709551615,17799,0,1,0,0,0,0,0,1,17605-52736-52729-15934,1001,"[{""attempts"":1,""is_succeeded"":1,""end_time"":17799,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":17605,""from_node_id"":2183,""to_node_id"":353,""sent_amt"":98520,""edge_cap"":94745362,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":52736,""from_node_id"":353,""to_node_id"":2,""sent_amt"":98519,""edge_cap"":17985716,""channel_cap"":345623000,""group_cap"":null,""channel_update"":345623000},{""edge_id"":52729,""from_node_id"":2,""to_node_id"":54,""sent_amt"":98519,""edge_cap"":327155646,""channel_cap"":354635000,""group_cap"":null,""channel_update"":354635000},{""edge_id"":15934,""from_node_id"":54,""to_node_id"":2046,""sent_amt"":97519,""edge_cap"":23330412,""channel_cap"":353363000,""group_cap"":null,""channel_update"":353363000}]}]"
13,2398,1249,80763,18008,18446744073709551615,18610,1,1,0,0,0,0,0,2,19711-10234-7722,4,
